,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
1130,29000000,Geffen Pictures,USA,Tony Scott,Action,59509925,The Last Boy Scout,R,1991-12-13 00:00:00,105,6.9,Bruce Willis,80307,Shane Black,1991,1,1.0520663793103449,110
1131,75000000,Imagine Films Entertainment,USA,Ron Howard,Action,77868585,Backdraft,R,1991-05-24 00:00:00,137,6.7,Kurt Russell,61711,Gregory Widen,1991,1,0.0382478,0
1132,19000000,Twentieth Century Fox Film Corporation,USA,Joseph Ruben,Drama,101599005,Sleeping with the Enemy,R,1991-02-08 00:00:00,99,6.2,Julia Roberts,40443,Nancy Price,1991,1,4.347316052631579,430
1134,6000000,Universal Pictures,USA,Wes Craven,Comedy,24204154,The People Under the Stairs,R,1991-11-01 00:00:00,102,6.3,Brandon Quintin Adams,25742,Wes Craven,1991,1,3.0340256666666665,300
1136,10000000,TriStar Pictures,USA,Daniel Petrie Jr.,Action,15073942,Toy Soldiers,R,1991-04-26 00:00:00,111,6.5,Sean Astin,17063,William P. Kennedy,1991,1,0.5073942,50
1137,8500000,Warner Bros.,USA,Mario Van Peebles,Action,47624253,New Jack City,R,1991-03-08 00:00:00,97,6.6,Wesley Snipes,25867,Thomas Lee Wright,1991,1,4.602853294117647,459
1138,25000000,Golden Harvest Company,USA,Michael Pressman,Action,78656813,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,PG,1991-03-22 00:00:00,88,6.0,Paige Turco,44901,Kevin Eastman,1991,1,2.14627252,210
1139,11000000,New Line Cinema,USA,Rachel Talalay,Comedy,34872033,Freddy's Dead: The Final Nightmare,R,1991-09-13 00:00:00,89,4.9,Robert Englund,33582,Wes Craven,1991,1,2.170184818181818,220
1140,65000000,TriStar Pictures,USA,Michael Lehmann,Action,17218080,Hudson Hawk,R,1991-05-24 00:00:00,100,5.8,Bruce Willis,45642,Bruce Willis,1991,0,-0.7351064615384615,-70
1142,20000000,Interscope Communications,USA,Peter Hewitt,Adventure,38037513,Bill & Ted's Bogus Journey,PG,1991-07-19 00:00:00,93,6.2,Keanu Reeves,52853,Chris Matheson,1991,1,0.90187565,90
1143,6788000,PolyGram Filmed Entertainment,USA,Ate de Jong,Comedy,43878334,Drop Dead Fred,PG-13,1991-05-24 00:00:00,103,5.8,Phoebe Cates,23181,Elizabeth Livingston,1991,1,5.464103417796111,550
1144,15000000,Stone Group Pictures,USA,Sheldon Lettich,Action,30102717,Double Impact,R,1991-08-09 00:00:00,110,5.5,Jean-Claude Van Damme,31574,Sheldon Lettich,1991,1,1.0068478,100
1145,3500000,Victor Company of Japan (JVC),France,Jim Jarmusch,Comedy,2015810,Night on Earth,R,1991-12-12 00:00:00,129,7.8,Winona Ryder,44688,Jim Jarmusch,1991,0,-0.4240542857142857,-40
1146,13500000,Paramount Pictures,USA,Stan Dragoti,Comedy,26255594,Necessary Roughness,PG-13,1991-09-27 00:00:00,108,6.1,Scott Bakula,8750,Rick Natkin,1991,1,0.9448588148148148,90
1147,29000000,Paramount Pictures,USA,Garry Marshall,Comedy,22773535,Frankie and Johnny,R,1991-10-11 00:00:00,118,6.7,Al Pacino,24326,Terrence McNally,1991,0,-0.21470568965517242,-20
1148,35000000,Joseph S. Vecchio Entertainment,USA,John Landis,Comedy,23562716,Oscar,PG,1991-04-26 00:00:00,109,6.4,Sylvester Stallone,25116,Claude Magnier,1991,0,-0.32677954285714284,-30
1151,30000000,TriStar Pictures,USA,Barry Levinson,Biography,49114016,Bugsy,R,1991-12-20 00:00:00,136,6.8,Warren Beatty,22209,James Toback,1991,1,0.6371338666666667,60
1152,30000000,Columbia Pictures Corporation,USA,Barbra Streisand,Drama,74787599,The Prince of Tides,R,1991-12-25 00:00:00,132,6.7,Barbra Streisand,13391,Pat Conroy,1991,1,1.4929199666666666,150
1153,23000000,Paramount Pictures,USA,David Zucker,Comedy,86930411,The Naked Gun 2½: The Smell of Fear,PG-13,1991-06-28 00:00:00,85,6.8,Leslie Nielsen,89142,Jim Abrahams,1991,1,2.7795830869565217,280
1154,14000000,Arnold Kopelson Productions,USA,John Flynn,Action,39673161,Out for Justice,R,1991-04-12 00:00:00,91,6.0,Steven Seagal,18164,R. Lance Hill,1991,1,1.8337972142857142,180
1156,14000000,Universal Pictures,USA,Spike Lee,Drama,32482682,Jungle Fever,R,1991-06-07 00:00:00,132,6.5,Wesley Snipes,14307,Spike Lee,1991,1,1.3201915714285715,130
1157,6000000,Alive Films,USA,David Kellogg,Comedy,1193062,Cool as Ice,PG,1991-10-18 00:00:00,91,2.8,Vanilla Ice,7942,David Stenn,1991,0,-0.8011563333333334,-80
1159,50000000,Paramount Pictures,USA,Mike Nichols,Drama,43001500,Regarding Henry,PG-13,1991-07-10 00:00:00,108,6.7,Harrison Ford,24971,J.J. Abrams,1991,0,-0.13997,-10
1160,8000000,Little Tokyo Productions,USA,Mark L. Lester,Action,2275557,Showdown in Little Tokyo,R,1991-08-23 00:00:00,79,6.1,Dolph Lundgren,13465,Stephen Glantz,1991,0,-0.715555375,-70
1162,17000000,Metro-Goldwyn-Mayer (MGM),USA,Lili Fini Zanuck,Action,7241350,Rush,R,1992-01-17 00:00:00,120,6.7,Jason Patric,6699,Kim Wozencraft,1991,0,-0.5740382352941177,-60
1163,15000000,Paramount Pictures,USA,Kenneth Branagh,Crime,38016380,Dead Again,R,1991-08-30 00:00:00,107,7.0,Kenneth Branagh,22783,Scott Frank,1991,1,1.5344253333333333,150
1164,23000,Detour Filmproduction,USA,Richard Linklater,Comedy,1228108,Slacker,R,1991-07-05 00:00:00,97,7.1,Richard Linklater,16396,Richard Linklater,1991,1,52.396,5240
1165,30000000,Davis-Panzer Productions,UK,Russell Mulcahy,Action,15556340,Highlander II: The Quickening,R,1991-11-01 00:00:00,91,4.1,Christopher Lambert,38557,Gregory Widen,1991,0,-0.48145533333333335,-50
1168,25000000,Hughes Entertainment,USA,John Hughes,Comedy,33691313,Curly Sue,PG,1991-10-25 00:00:00,101,5.7,Jim Belushi,17739,John Hughes,1991,1,0.34765252,30
1169,18000000,Goldcrest Films International,Ireland,Don Bluth,Animation,11657385,Amigos inseparables,G,1992-04-03 00:00:00,100,6.0,Glen Campbell,6716,Don Bluth,1991,0,-0.3523675,-40
1170,23000000,Krisjair,USA,Simon Wincer,Action,7434726,Harley Davidson and the Marlboro Man,R,1991-08-23 00:00:00,98,6.0,Mickey Rourke,15567,Don Michael Paul,1991,0,-0.6767510434782609,-70
1171,14000000,Walt Disney Pictures,USA,Randal Kleiser,Adventure,34793160,White Fang,PG,1991-01-18 00:00:00,107,6.7,Ethan Hawke,16702,Jack London,1991,1,1.4852257142857144,150
1174,23000000,Universal Pictures,USA,Michael Karbelnikoff,Crime,20246790,Mobsters,R,1991-07-26 00:00:00,104,5.9,Christian Slater,7229,Michael Mahern,1991,0,-0.11970478260869566,-10
1178,17000000,Stone Group Pictures,USA,Craig R. Baxley,Action,9286314,Stone Cold,R,1991-05-17 00:00:00,88,5.9,Brian Bosworth,5551,Walter Doniger,1991,0,-0.4537462352941177,-50
1186,17000000,TriStar Pictures,USA,Maurice Phillips,Comedy,2865916,Another You,R,1991-07-26 00:00:00,100,5.3,Richard Pryor,2959,Ziggy Steinberg,1991,0,-0.831416705882353,-80
1187,10000000,Orion Pictures,USA,Jodie Foster,Drama,25010896,Little Man Tate,PG,1991-11-01 00:00:00,99,6.7,Jodie Foster,12172,Scott Frank,1991,1,1.5010896,150
1190,23000000,Argos Films,Germany,Wim Wenders,Action,752856,Until the End of the World,R,1991-12-25 00:00:00,280,6.8,William Hurt,7344,Peter Carey,1991,0,-0.9672671304347826,-100
1191,1400000,IRS Media,USA,Bobcat Goldthwait,Comedy,115103,Shakes the Clown,R,1992-03-13 00:00:00,87,5.6,Bobcat Goldthwait,3958,Bobcat Goldthwait,1991,0,-0.9177835714285715,-90
1193,8000000,Columbia Pictures Corporation,USA,Alan Rudolph,Mystery,19018321,Mortal Thoughts,R,1991-04-19 00:00:00,102,5.7,Demi Moore,7239,William Reilly,1991,1,1.377290125,140
1199,10000000,Vista Street Entertainment,USA,Eric Red,Horror,9188150,Body Parts,R,1991-08-02 00:00:00,88,5.5,Jeff Fahey,3290,Pierre Boileau,1991,0,-0.081185,-10
1200,22000000,Capella International,USA,Wolfgang Petersen,Crime,11511031,Shattered,R,1991-10-11 00:00:00,98,6.5,Tom Berenger,6807,Richard Neely,1991,0,-0.47677131818181817,-50
1202,13000000,Brooksfilms,USA,Mel Brooks,Comedy,4102526,Life Stinks,PG-13,1991-07-26 00:00:00,92,5.8,Mel Brooks,7979,Mel Brooks,1991,0,-0.684421076923077,-70
1203,18000000,Metro-Goldwyn-Mayer (MGM),USA,Tom Mankiewicz,Comedy,5546827,Delirious,PG,1991-08-09 00:00:00,96,5.7,John Candy,6370,Lawrence J. Cohen,1991,0,-0.6918429444444445,-70
1204,7000000,Columbia Pictures Corporation,USA,Sean Penn,Drama,191125,The Indian Runner,R,1991-09-20 00:00:00,127,7.1,David Morse,7239,Sean Penn,1991,0,-0.9726964285714286,-100
1205,11000000,Baltimore Pictures,France,Steven Soderbergh,Drama,1059071,Kafka,PG-13,1991-11-15 00:00:00,98,6.9,Jeremy Irons,8341,Lem Dobbs,1991,0,-0.9037208181818182,-90
1209,17000000,Twentieth Century Fox Film Corporation,USA,Peter Faiman,Comedy,4603929,Dutch,PG-13,1991-07-19 00:00:00,107,6.4,Ed O'Neill,10048,John Hughes,1991,0,-0.7291806470588236,-70
1210,48000000,Touchstone Pictures,USA,Robert Benton,Crime,15965919,Billy Bathgate,R,1991-11-01 00:00:00,106,5.9,Dustin Hoffman,10085,E.L. Doctorow,1991,0,-0.6673766875,-70
1213,3000000,Cinetel Films,USA,Marc Rocco,Crime,390152,Where the Day Takes You,R,1992-09-11 00:00:00,105,6.8,Dermot Mulroney,2522,Michael Hitchcock,1991,0,-0.8699493333333334,-90
1214,8000000,Palace Pictures,UK,Bill Duke,Comedy,10438504,A Rage in Harlem,R,1991-05-03 00:00:00,100,5.9,Forest Whitaker,1581,Chester Himes,1991,1,0.304813,30
1216,7500000,Carolco Pictures,USA,Martha Coolidge,Drama,6266621,Rambling Rose,R,1991-09-20 00:00:00,112,6.7,Laura Dern,4115,Calder Willingham,1991,0,-0.16445053333333334,-20
1220,13000000,Gladden Entertainment,USA,Stewart Raffill,Comedy,3752426,Mannequin: On the Move,PG,1991-05-17 00:00:00,95,4.1,Kristy Swanson,4885,Edward Rugoff,1991,0,-0.7113518461538462,-70
1221,10000000,Paramount Pictures,USA,Mark DiSalle,Action,14061361,The Perfect Weapon,R,1991-03-15 00:00:00,90,6.0,Jeff Speakman,2867,David C. Wilson,1991,1,0.4061361,40
1222,18000000,Pathé Entertainment,USA,Nicholas Meyer,Action,1501785,Company Business,PG-13,1991-09-06 00:00:00,98,5.7,Gene Hackman,1996,Nicholas Meyer,1991,0,-0.9165675,-90
1224,35000000,Paramount Pictures,USA,John Milius,Action,14587732,Flight of the Intruder,PG-13,1991-01-18 00:00:00,115,5.7,Danny Glover,5162,Stephen Coonts,1991,0,-0.5832076571428572,-60
1225,40000000,All Girl Productions,USA,Mark Rydell,Comedy,17860280,For the Boys,R,1991-11-27 00:00:00,138,6.3,Bette Midler,4430,Neal Jimenez,1991,0,-0.553493,-60
1227,14000000,Orion Pictures,USA,Woody Allen,Comedy,2735731,Shadows and Fog,PG-13,1992-03-20 00:00:00,85,6.8,Woody Allen,14024,Woody Allen,1991,0,-0.8045906428571429,-80
1228,2000000,Empire Pictures (II),USA,Stuart Gordon,Horror,3331,The Pit and the Pendulum,R,1991-06-27 00:00:00,97,6.1,Lance Henriksen,3241,Edgar Allan Poe,1991,0,-0.9983345,-100
1229,5000000,"Hudlin Brothers, The",USA,George Jackson,Comedy,19281235,House Party 2,R,1991-10-23 00:00:00,100,5.1,Christopher Reid,3925,Reginald Hudlin,1991,1,2.856247,290
1232,36000000,The Saul Zaentz Company,USA,Hector Babenco,Drama,1342903,At Play in the Fields of the Lord,R,1991-12-06 00:00:00,189,6.8,Tom Berenger,2755,Peter Matthiessen,1991,0,-0.9626971388888889,-100
1234,26000000,Hollywood Pictures,USA,Jerry Rees,Comedy,12454768,The Marrying Man,R,1991-04-05 00:00:00,115,5.7,Kim Basinger,4445,Neil Simon,1991,0,-0.5209704615384615,-50
1235,17010000,Sean Daniel Company,USA,Nadia Tass,Comedy,22641969,Pure Luck,PG,1991-08-09 00:00:00,96,5.7,Martin Short,5618,Francis Veber,1991,1,0.3310975308641975,30
1236,22000000,Largo Entertainment,USA,Rod Daniel,Comedy,11000863,The Super,R,1991-10-04 00:00:00,84,5.5,Joe Pesci,4400,Sam Simon,1991,0,-0.49996077272727274,-50
1238,16400000,Orion Pictures,USA,Richard Franklin,Action,21082165,F/X2,PG-13,1991-05-10 00:00:00,108,5.8,Bryan Brown,7248,Robert T. Megginson,1991,1,0.28549786585365855,30
1239,28000000,Films A2,France,Leos Carax,Drama,117569,The Lovers on the Bridge,R,1999-07-02 00:00:00,125,7.6,Juliette Binoche,9590,Leos Carax,1991,0,-0.9958011071428572,-100
1241,250000,Bronze Eye Productions,USA,Todd Haynes,Drama,609524,Poison,R,1991-08-16 00:00:00,85,6.5,Edith Meeks,2724,Jean Genet,1991,1,1.438096,140
1244,16000000,Hollywood Pictures,USA,Geoff Burrowes,Action,4409328,Run,R,1991-02-01 00:00:00,91,6.1,Patrick Dempsey,2157,Dennis Shryack,1991,0,-0.724417,-70
1250,4000000,Hollywood Pictures,USA,Heywood Gould,Action,11276846,One Good Cop,R,1991-05-03 00:00:00,114,5.8,Michael Keaton,3226,Heywood Gould,1991,1,1.8192115,180
1257,16000000,Cinecom Entertainment Group,USA,Lasse Hallström,Comedy,14851083,Once Around,R,1991-02-01 00:00:00,115,6.5,Richard Dreyfuss,3594,Malia Scotch Marmo,1991,0,-0.0718073125,-10
1266,6000000,Les Films 21,USA,Sylvio Tabet,Action,869325,Beastmaster 2: Through the Portal of Time,PG-13,1991-08-30 00:00:00,107,3.8,Marc Singer,2462,Andre Norton,1991,0,-0.8551125,-90
1272,10000000,Orion Pictures,USA,Jonathan Wacks,Comedy,6166819,Mystery Date,PG-13,1991-08-16 00:00:00,97,6.0,Ethan Hawke,2180,Parker Bennett,1991,0,-0.3833181,-40
1275,4000000,Imagine Entertainment,USA,Radha Bharadwaj,Drama,259012,Closet Land,R,1991-03-06 00:00:00,100,7.2,Madeleine Stowe,2293,Radha Bharadwaj,1991,0,-0.935247,-90
1276,10000000,TriStar Pictures,USA,Matthew Robbins,Adventure,8667684,Bingo,PG,1991-08-09 00:00:00,100,4.7,Cindy Williams,2380,Jim Strain,1991,0,-0.1332316,-10
1281,19000000,Nelson Entertainment,USA,Sidney J. Furie,Action,939277,The Taking of Beverly Hills,R,1991-10-11 00:00:00,96,4.9,Ken Wahl,869,Sidney J. Furie,1991,0,-0.9505643684210526,-100
1283,1900000,Juno Pix,USA,Joseph B. Vasquez,Comedy,532933,Hangin' with the Homeboys,R,1991-04-05 00:00:00,100,7.0,Doug E. Doug,1147,Joseph B. Vasquez,1991,0,-0.7195089473684211,-70
1291,450000,American Playhouse,USA,Matty Rich,Crime,2712293,Straight Out of Brooklyn,R,1991-06,100,5.9,George T. Odom,499,Matty Rich,1991,1,5.027317777777778,500
1301,3000000,Touchstone Pictures,USA,Paul Mazursky,Comedy,9563393,Scenes from a Mall,R,1991-02-22 00:00:00,89,5.3,Bette Midler,4158,Roger L. Simon,1991,1,2.1877976666666665,220
1304,3000000,Esperanza Films Inc.,USA,John Sayles,Crime,1264910,City of Hope,R,1991-11-15 00:00:00,129,7.4,Vincent Spano,1889,John Sayles,1991,0,-0.5783633333333333,-60
1307,13000000,Nelson Entertainment,USA,Duncan Gibbins,Action,5451119,Eve of Destruction,R,1991-01-18 00:00:00,99,4.8,Gregory Hines,1664,Duncan Gibbins,1991,0,-0.5806831538461539,-60
1308,6000000,Raffaella Productions,USA,Avi Nesher,Action,64562,Timebomb,R,1991-05-25 00:00:00,96,5.5,Michael Biehn,1236,Avi Nesher,1991,0,-0.9892396666666666,-100
1309,14000000,Not specified,USA,Arthur Hiller,Comedy,1989059,Married to It,R,1993-03-26 00:00:00,112,5.9,Beau Bridges,757,Janet Kovalcik,1991,0,-0.8579243571428572,-90
1312,15000000,Sandollar Productions,USA,Charles Lane,Comedy,4693236,True Identity,R,1991-08-23 00:00:00,93,5.1,Lenny Henry,1019,Andy Breckman,1991,0,-0.6871176,-70
1320,1200000,Live Entertainment,USA,Quentin Tarantino,Crime,2832029,Reservoir Dogs,R,1992-09-02 00:00:00,99,8.3,Harvey Keitel,735396,Quentin Tarantino,1992,1,1.3600241666666666,140
1321,40000000,American Zoetrope,USA,Francis Ford Coppola,Horror,82522790,Bram Stoker's Dracula,R,1992-11-13 00:00:00,128,7.5,Gary Oldman,155460,Bram Stoker,1992,1,1.06306975,110
1322,28000000,Walt Disney Pictures,USA,Ron Clements,Animation,217350219,Aladdin,G,1992-11-25 00:00:00,90,8.0,Scott Weinger,287068,Ron Clements,1992,1,6.762507821428572,680
1323,80000000,Warner Bros.,USA,Tim Burton,Action,162831698,Batman Returns,PG-13,1992-06-19 00:00:00,126,7.0,Michael Keaton,232027,Bob Kane,1992,1,1.035396225,100
1324,49000000,Carolco Pictures,France,Paul Verhoeven,Drama,117727000,Bajos instintos,R,1992-03-20 00:00:00,127,6.9,Michael Douglas,143903,Joe Eszterhas,1992,1,1.402591836734694,140
1325,40000000,Morgan Creek Productions,USA,Michael Mann,Action,75505856,The Last of the Mohicans,R,1992-09-25 00:00:00,112,7.8,Daniel Day-Lewis,122987,James Fenimore Cooper,1992,1,0.8876464,90
1326,14400000,Warner Bros.,USA,Clint Eastwood,Drama,101157447,Unforgiven,R,1992-08-07 00:00:00,131,8.2,Clint Eastwood,304536,David Webb Peoples,1992,1,6.024822708333334,600
1327,11000000,Palo Vista Productions,USA,Jonathan Lynn,Comedy,52929168,My Cousin Vinny,R,1992-03-13 00:00:00,120,7.5,Joe Pesci,88685,Dale Launer,1992,1,3.8117425454545453,380
1328,40000000,Columbia Pictures Corporation,USA,Rob Reiner,Drama,141340178,A Few Good Men,R,1992-12-11 00:00:00,138,7.7,Tom Cruise,196002,Aaron Sorkin,1992,1,2.53350445,250
1329,10000000,New Line Cinema,USA,David Lynch,Drama,4160851,Twin Peaks: Fire Walk with Me,R,1992-08-28 00:00:00,135,7.2,Sheryl Lee,67092,David Lynch,1992,0,-0.5839149,-60
1330,50000000,Twentieth Century Fox Film Corporation,USA,David Fincher,Action,55473600,Alien 3,R,1992-05-22 00:00:00,114,6.4,Sigourney Weaver,231709,Dan O'Bannon,1992,1,0.109472,10
1331,31000000,Touchstone Pictures,USA,Emile Ardolino,Comedy,139610000,Sister Act,PG,1992-05-29 00:00:00,100,6.3,Whoopi Goldberg,70833,Paul Rudnick,1992,1,3.503548387096774,350
1332,40000000,Columbia Pictures Corporation,USA,Penny Marshall,Comedy,107533928,A League of Their Own,PG,1992-07-01 00:00:00,128,7.2,Tom Hanks,77047,Kim Wilson,1992,1,1.6883482,170
1333,55000000,Universal Pictures,USA,Robert Zemeckis,Comedy,58422650,Death Becomes Her,PG-13,1992-07-31 00:00:00,104,6.5,Meryl Streep,85470,Martin Donovan,1992,1,0.06223,10
1334,31000000,Universal Pictures,USA,Martin Brest,Drama,63895607,Scent of a Woman,R,1993-01-08 00:00:00,156,8.0,Al Pacino,209862,Giovanni Arpino,1992,1,1.0611486129032257,110
1335,15000000,Touchwood Pacific Partners 1,USA,Kenny Ortega,Drama,2819485,Newsies,PG,1992-04-10 00:00:00,121,7.0,Christian Bale,16383,Bob Tzudiker,1992,0,-0.8120343333333333,-80
1336,25000000,Kasdan Pictures,USA,Mick Jackson,Action,121945720,The Bodyguard,R,1992-11-25 00:00:00,129,6.2,Kevin Costner,97795,Lawrence Kasdan,1992,1,3.8778288,390
1337,20000000,Paramount Pictures,USA,Penelope Spheeris,Comedy,121697350,Wayne's World,PG-13,1992-02-14 00:00:00,94,7.0,Mike Myers,122552,Mike Myers,1992,1,5.0848675,509
1338,10000000,Avnet/Kerner Productions,USA,Stephen Herek,Comedy,50752337,The Mighty Ducks,PG,1992-10-02 00:00:00,100,6.4,Emilio Estevez,48129,Steven Brill,1992,1,4.0752337,409
1339,11000000,Dino De Laurentiis Company,USA,Sam Raimi,Comedy,11502976,Army of Darkness,R,1993-02-19 00:00:00,81,7.6,Bruce Campbell,139216,Sam Raimi,1992,1,0.04572509090909091,0
1340,18000000,Twentieth Century Fox Film Corporation,USA,Chris Columbus,Adventure,173585516,Home Alone 2: Lost in New York,PG,1992-11-20 00:00:00,120,6.6,Macaulay Culkin,226766,John Hughes,1992,1,8.643639777777778,860
1341,35000000,Warner Bros.,France,Andrew Davis,Action,83363139,Under Siege,R,1992-10-09 00:00:00,103,6.5,Steven Seagal,65431,J.F. Lawton,1992,1,1.3818039714285715,140
1342,12500000,GGR,USA,James Foley,Crime,10725228,Glengarry Glen Ross,R,1992-10-02 00:00:00,100,7.8,Al Pacino,82352,David Mamet,1992,0,-0.14198176,-10
1343,3000000,WingNut Films,New Zealand,Peter Jackson,Comedy,242623,Dead Alive,R,1993-02-12 00:00:00,104,7.6,Timothy Balme,81752,Stephen Sinclair,1992,0,-0.9191256666666666,-90
1344,6000000,PolyGram Filmed Entertainment,USA,Bernard Rose,Horror,25792310,Candyman,R,1992-10-16 00:00:00,99,6.6,Virginia Madsen,54076,Clive Barker,1992,1,3.2987183333333334,330
1345,45000000,Mace Neufeld Productions,USA,Phillip Noyce,Action,83287363,Patriot Games,R,1992-06-05 00:00:00,117,6.9,Harrison Ford,86479,Tom Clancy,1992,1,0.8508302888888889,90
1348,24000000,Touchstone Pictures,USA,Thom Eberhardt,Adventure,22518097,Captain Ron,PG-13,1992-09-18 00:00:00,90,5.7,Kurt Russell,17877,John Dwyer,1992,0,-0.06174595833333334,-10
1350,31000000,Carolco Pictures,UK,Richard Attenborough,Biography,9493259,Chaplin,PG-13,1993-01-08 00:00:00,143,7.6,Robert Downey Jr.,45964,David Robinson,1992,0,-0.6937658387096775,-70
1351,33000000,Largo International N.V.,USA,Spike Lee,Biography,48169908,Malcolm X,PG-13,1992-11-18 00:00:00,202,7.7,Denzel Washington,69074,Alex Haley,1992,1,0.45969418181818184,50
1352,15000000,Columbia Pictures Corporation,USA,Mick Garris,Horror,30524763,Sleepwalkers,R,1992-04-10 00:00:00,91,5.2,Brian Krause,16241,Stephen King,1992,1,1.0349842,100
1353,24000000,FAI Films,Australia,Bill Kroyer,Animation,24650296,FernGully: Las aventuras de Zak y Crysta,G,1992-04-10 00:00:00,76,6.5,Samantha Mathis,22480,Jim Cox,1992,1,0.027095666666666667,0
1355,5000000,Fifth Avenue Entertainment,USA,Anthony Hickox,Horror,12534961,Hellraiser III: Hell on Earth,R,1992-09-11 00:00:00,91,5.5,Terry Farrell,22036,Clive Barker,1992,1,1.5069922,150
1357,7000000,Twentieth Century Fox Film Corporation,USA,Fran Rubel Kuzui,Action,16624456,Buffy the Vampire Slayer,PG-13,1992-07-31 00:00:00,86,5.6,Kristy Swanson,34181,Joss Whedon,1992,1,1.3749222857142858,140
1358,8000000,Paramount Pictures,USA,Mary Lambert,Fantasy,17092453,Pet Sematary II,R,1992-08-28 00:00:00,100,4.8,Edward Furlong,14545,Richard Outten,1992,1,1.136556625,110
1360,23000000,StudioCanal,USA,Roland Emmerich,Action,36299898,Universal Soldier,R,1992-07-10 00:00:00,102,6.0,Jean-Claude Van Damme,72711,Richard Rothstein,1992,1,0.5782564347826087,60
1363,7000000,Encino Man Productions,USA,Les Mayfield,Comedy,40693477,Encino Man,PG,1992-05-22 00:00:00,88,5.7,Sean Astin,31980,George Zaloom,1992,1,4.813353857142857,480
1364,5000000,Island World,USA,Ernest R. Dickerson,Action,20146880,Juice,R,1992-01-17 00:00:00,95,7.1,Omar Epps,18787,Ernest R. Dickerson,1992,1,3.029376,300
1366,60000000,Imagine Films Entertainment,USA,Ron Howard,Adventure,58883840,Far and Away,PG-13,1992-05-22 00:00:00,140,6.5,Tom Cruise,50869,Bob Dolman,1992,0,-0.018602666666666667,0
1367,35000000,Warner Bros.,USA,Richard Donner,Action,144731527,Lethal Weapon 3,R,1992-05-15 00:00:00,118,6.7,Mel Gibson,136206,Jeffrey Boam,1992,1,3.1351864857142857,310
1368,5000000,Canal+,France,Roman Polanski,Drama,1862805,Luna amarga,R,1994-03-18 00:00:00,139,7.2,Hugh Grant,28002,Pascal Bruckner,1992,0,-0.627439,-60
1369,10000000,Allied Vision,UK,Brett Leonard,Horror,32101000,The Lawnmower Man,R,1992-03-06 00:00:00,108,5.4,Jeff Fahey,29522,Stephen King,1992,1,2.2101,220
1370,3000000,New Line Cinema,USA,Katt Shea,Drama,1829804,Poison Ivy,R,1992-05-08 00:00:00,88,5.4,Drew Barrymore,14751,Melissa Goddard,1992,0,-0.3900653333333333,-40
1371,11700000,Hollywood Pictures,USA,Curtis Hanson,Drama,88036683,The Hand That Rocks the Cradle,R,1992-01-10 00:00:00,110,6.6,Annabella Sciorra,31853,Amanda Silver,1992,1,6.52450282051282,650
1373,16000000,Columbia Pictures Corporation,USA,Barbet Schroeder,Drama,47922919,Single White Female,R,1992-08-14 00:00:00,107,6.3,Bridget Fonda,25871,John Lutz,1992,1,1.9951824375,200
1374,1000000,Bad Lt. Productions,USA,Abel Ferrara,Crime,2000022,Bad Lieutenant,NC-17,1992-12-17 00:00:00,96,7.1,Harvey Keitel,31763,Zoë Lund,1992,1,1.000022,100
1375,6500000,Touchstone Pictures,USA,Jon Turteltaub,Action,29000301,3 Ninjas,PG,1992-08-07 00:00:00,84,5.2,Victor Wong,17402,Kenny Kim,1992,1,3.461584769230769,350
1376,35000000,Universal Pictures,USA,Phil Alden Robinson,Comedy,51433000,Sneakers,PG-13,1992-09-11 00:00:00,126,7.1,Robert Redford,46109,Phil Alden Robinson,1992,1,0.4695142857142857,50
1377,40000000,Paramount Pictures,USA,Reginald Hudlin,Comedy,70100000,Boomerang,R,1992-07-01 00:00:00,117,5.4,Eddie Murphy,21723,Eddie Murphy,1992,1,0.7525,80
1378,8000000,Avenue Pictures,USA,Robert Altman,Comedy,21706100,The Player,R,1992-05-08 00:00:00,124,7.6,Tim Robbins,45208,Michael Tolkin,1992,1,1.7132625,170
1379,43000000,Baltimore Pictures,USA,Barry Levinson,Adventure,21452082,Toys,PG-13,1992-12-18 00:00:00,118,5.0,Robin Williams,27750,Valerie Curtin,1992,0,-0.5011143720930232,-50
1380,47000000,Gaumont,France,Ridley Scott,Adventure,7191399,1492: Conquista del Paraíso,PG-13,1992-10-09 00:00:00,154,6.5,Gérard Depardieu,24155,Rose Bosch,1992,0,-0.8469915106382979,-80
1382,35000000,Twentieth Century Fox Film Corporation,USA,Danny DeVito,Biography,24276500,Hoffa,R,1992-12-25 00:00:00,140,6.6,Jack Nicholson,18198,David Mamet,1992,0,-0.30638571428571426,-30
1383,15000000,Warner Bros.,USA,Kevin Hooks,Action,44065653,Passenger 57,R,1992-11-06 00:00:00,84,5.8,Wesley Snipes,39076,Stewart Raffill,1992,1,1.9377102,190
1385,2000000,Arau Films Internacional,Mexico,Alfonso Arau,Drama,21665500,Como agua para chocolate,R,1993-05-28 00:00:00,105,7.2,Marco Leonardi,14517,Laura Esquivel,1992,1,9.83275,980
1388,7000,Columbia Pictures Corporation,USA,Robert Rodriguez,Action,2040920,El Mariachi,R,1993-02-26 00:00:00,81,6.9,Carlos Gallardo,55226,Robert Rodriguez,1992,1,290.56,29060
