,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
37,6000000,HBO Films,USA,Robert Harmon,Thriller,5844868,The Hitcher,R,1986-02-21 00:00:00,97,7.3,Rutger Hauer,36191,Eric Red,1986,0,-0.025855333333333334,0
38,10000000,Amblin Entertainment,USA,Richard Benjamin,Comedy,37499651,The Money Pit,PG,1986-03-26 00:00:00,91,6.3,Tom Hanks,41278,David Giler,1986,1,2.7499651,270
39,3000000,Paramount Pictures,USA,Tom McLoughlin,Horror,19472057,Jason Lives: Friday the 13th Part VI,R,1986-08-01 00:00:00,86,5.9,Thom Mathews,28310,Tom McLoughlin,1986,1,5.490685666666667,550
40,25000000,The Saul Zaentz Company,USA,Peter Weir,Adventure,14302779,The Mosquito Coast,PG,1986-11-26 00:00:00,117,6.6,Harrison Ford,23076,Paul Theroux,1986,0,-0.42788884,-40
42,4000000,Initial Pictures,UK,Alex Cox,Biography,2826523,Sid and Nancy,R,1986-11-07 00:00:00,112,7.1,Gary Oldman,25032,Alex Cox,1986,0,-0.29336925,-30
43,10000000,De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,4711220,King Kong Lives,PG-13,1986-12-19 00:00:00,105,3.8,Brian Kerwin,4401,Ronald Shusett,1986,0,-0.528878,-50
44,4500000,Empire Pictures,USA,Stuart Gordon,Horror,1261000,From Beyond,R,1986-10-24 00:00:00,86,6.7,Jeffrey Combs,16636,H.P. Lovecraft,1986,0,-0.7197777777777777,-70
45,18000000,TriStar Pictures,USA,Francis Ford Coppola,Comedy,41382841,Peggy Sue Got Married,PG-13,1986-10-10 00:00:00,103,6.3,Kathleen Turner,28529,Jerry Leichtling,1986,1,1.2990467222222222,130
46,19000000,Freddie Fields Productions,USA,Brian Gibson,Horror,40996665,Poltergeist II: The Other Side,PG-13,1986-05-23 00:00:00,91,5.7,JoBeth Williams,20669,Mark Victor,1986,1,1.1577192105263159,120
47,1100000,Empire Pictures,USA,John Carl Buechler,Comedy,5450815,Troll,PG-13,1986-01-17 00:00:00,82,4.3,Michael Moriarty,7569,Ed Naha,1986,1,3.9552863636363638,400
50,111000,Maljack Productions,USA,John McNaughton,Biography,609939,Henry: Portrait of a Serial Killer,UNRATED,1990-09-07 00:00:00,83,7.0,Michael Rooker,25367,Richard Fire,1986,1,4.494945945945946,450
51,18000000,ABC Motion Pictures,USA,Harry Winer,Adventure,9697739,SpaceCamp,PG,1986-06-06 00:00:00,107,5.6,Kate Capshaw,11484,Clifford Green,1986,0,-0.46123672222222223,-50
52,6400000,Orion Pictures,USA,Woody Allen,Comedy,40084041,Hannah and Her Sisters,PG-13,1986-03-14 00:00:00,107,8.0,Mia Farrow,56988,Woody Allen,1986,1,5.26313140625,530
53,14000000,Walt Disney Pictures,USA,Ron Clements,Animation,38600000,The Great Mouse Detective,G,1986-07-02 00:00:00,74,7.2,Vincent Price,36539,Peter Young,1986,1,1.7571428571428571,180
54,8500000,De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,16209459,Raw Deal,R,1986-06-06 00:00:00,106,5.5,Arnold Schwarzenegger,24851,Luciano Vincenzoni,1986,1,0.9069951764705882,90
55,6000000,Sunbow Productions,USA,Nelson Shin,Animation,5849647,The Transformers: The Movie,PG,1986-08-08 00:00:00,84,7.3,Orson Welles,33609,Ron Friedman,1986,0,-0.025058833333333332,0
57,5000000,TriStar Pictures,USA,Fred Dekker,Comedy,591366,Night of the Creeps,R,1986-08-22 00:00:00,88,6.8,Jason Lively,16077,Fred Dekker,1986,0,-0.8817268,-90
58,12000000,Cannon Pictures,USA,Tobe Hooper,Horror,4884663,Invaders from Mars,PG,1986-06-06 00:00:00,100,5.5,Karen Black,5878,Richard Blake,1986,0,-0.59294475,-60
60,6000000,De Haven Productions,UK,David Anspaugh,Drama,28607524,Hoosiers,PG,1987-02-27 00:00:00,114,7.6,Gene Hackman,36604,Angelo Pizzo,1986,1,3.7679206666666665,380
62,6500000,Cinema '85,USA,James Foley,Crime,2347000,At Close Range,R,1986-04-18 00:00:00,111,7.0,Sean Penn,11607,Elliott Lewitt,1986,0,-0.6389230769230769,-60
66,20000000,Paramount Pictures,USA,Mike Nichols,Comedy,25314289,Heartburn,R,1986-07-25 00:00:00,108,6.1,Meryl Streep,7570,Nora Ephron,1986,1,0.26571445,30
67,15000000,Warner Bros.,USA,Michael Chapman,Adventure,1953732,The Clan of the Cave Bear,R,1986-01-17 00:00:00,98,5.3,Daryl Hannah,5340,Jean M. Auel,1986,0,-0.8697512,-90
68,12000000,Golan-Globus Productions,USA,Menahem Golan,Action,17768900,The Delta Force,R,1986-02-14 00:00:00,125,5.6,Chuck Norris,15819,James Bruner,1986,1,0.4807416666666667,50
74,18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,PG-13,1986-03-14 00:00:00,112,6.2,Michael Keaton,9965,Edwin Blum,1986,1,1.0339783333333334,100
77,175000,40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,7137502,She's Gotta Have It,R,1986-08-08 00:00:00,84,6.6,Tracy Camilla Johns,5257,Spike Lee,1986,1,39.78572571428571,3979
79,8700000,Delphi V Productions,USA,Paul Michael Glaser,Action,4865912,Band of the Hand,R,1986-04-11 00:00:00,109,6.3,Stephen Lang,2297,Leo Garen,1986,0,-0.44069977011494255,-40
82,12000000,Columbia Pictures Corporation,USA,Mark L. Lester,Action,15945534,Armed and Dangerous,PG-13,1986-08-15 00:00:00,88,5.6,John Candy,9040,Brian Grazer,1986,1,0.3287945,30
83,1100000,Black Snake,USA,Jim Jarmusch,Comedy,1436000,Down by Law,R,1986-10-30 00:00:00,107,7.8,Tom Waits,39456,Jim Jarmusch,1986,1,0.3054545454545455,30
84,10000000,Orion Pictures,USA,Robert Mandel,Action,20603715,F/X,R,1986-02-07 00:00:00,109,6.7,Bryan Brown,14502,Robert T. Megginson,1986,1,1.0603715,110
87,18000000,Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,3900000,The Manhattan Project,PG-13,1986-06-13 00:00:00,117,6.1,John Lithgow,4666,Marshall Brickman,1986,0,-0.7833333333333333,-80
88,5000000,Paramount Pictures,USA,Fred Walton,Horror,12947763,April Fool's Day,R,1986-03-28 00:00:00,89,6.2,Deborah Foreman,11458,Danilo Bach,1986,1,1.5895526,160
89,25000000,Brooksfilms,USA,Alan Johnson,Action,1579260,Solarbabies,PG-13,1986-11-26 00:00:00,94,4.8,Richard Jordan,3397,Walon Green,1986,0,-0.9368296,-90
92,40000000,Carthago Films S.a.r.l.,France,Roman Polanski,Adventure,1641825,Piratas,PG-13,1986-07-18 00:00:00,121,6.1,Walter Matthau,6596,John Brownjohn,1986,0,-0.958954375,-100
94,10000000,Touchstone Pictures,USA,Jeff Kanew,Comedy,21458229,Tough Guys,PG,1986-10-03 00:00:00,104,6.2,Burt Lancaster,5584,James Orr,1986,1,1.1458229,110
